,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2018-10-31,114.7500,116.1800,100.1100,106.8100,101.3837,927547942,0.0000
2018-09-28,110.8500,115.2900,107.2300,114.3700,108.5596,480255674,0.0000
2018-08-31,106.0300,112.7800,104.8400,112.3300,106.6233,456630721,0.4200
2018-07-31,98.1000,111.1500,98.0000,106.0800,100.2995,569501573,0.0000
2018-06-29,99.2800,102.6900,97.2600,98.6100,93.2366,602585341,0.0000
2018-05-31,93.2100,99.9900,92.4500,98.8400,93.4540,509418119,0.4200
2018-04-30,90.4700,97.9000,87.5100,93.5200,88.0433,668258570,0.0000
2018-03-29,93.9900,97.2400,87.0800,91.2700,85.9251,732866406,0.0000
2018-02-28,94.7900,96.0700,83.8300,93.7700,88.2787,690287596,0.4200
2018-01-31,86.1300,95.4500,85.5000,95.0100,89.0343,543377322,0.0000
2017-12-29,83.6000,87.4999,80.7000,85.5400,80.1599,447828256,0.0000
2017-11-30,83.6800,85.0600,82.2400,84.1700,78.8760,415711970,0.4200
2017-10-31,74.7100,86.2000,73.7100,83.1800,77.5558,440510118,0.0000
2017-09-29,74.7100,75.9700,72.9200,74.4900,69.4533,367134396,0.0000
2017-08-31,73.1000,74.9600,71.2800,74.7700,69.7144,429156682,0.3900
2017-07-31,69.3300,74.4200,68.0200,72.7000,67.4252,451248934,0.0000
2017-06-30,70.2400,72.8900,68.0900,68.9300,63.9288,610120893,0.0000
2017-05-31,68.6800,70.7400,67.1400,69.8400,64.7727,505249296,0.3900
2017-04-28,65.8100,69.1400,64.8500,68.4600,63.1381,428857613,0.0000
2017-03-31,64.1300,66.1900,63.6200,65.8600,60.7402,489173200,0.0000
2017-02-28,64.3550,65.2400,62.7500,63.9800,59.0064,440744043,0.3900
2017-01-31,62.7900,65.9100,61.9500,64.6500,59.2663,494435826,0.0000
2016-12-30,60.1100,64.1000,58.8000,62.1400,56.9653,513579428,0.0000
2016-11-30,59.9700,61.4100,57.2800,60.2600,55.2419,613056964,0.3900
2016-10-31,57.4050,61.3699,56.3150,59.9200,54.5687,614841775,0.0000
2016-09-30,57.0100,58.1900,55.6100,57.6000,52.4559,526855083,0.0000
2016-08-31,56.6000,58.7000,56.1400,57.4600,52.3284,467079004,0.3600
2016-07-29,51.1300,57.2900,50.3900,56.6800,51.2966,647587634,0.0000
2016-06-30,52.4400,52.9500,48.0350,51.1700,46.3099,823987498,0.0000
2016-05-31,50.0000,53.0000,49.4600,53.0000,47.9661,530869347,0.3600
2016-04-29,55.0500,56.7700,49.3500,49.8700,44.8140,699025640,0.0000
2016-03-31,50.9700,55.6400,50.5800,55.2300,49.6306,640372350,0.0000
